block_height, reward, total_reward
20877200,328.19242443,17561996955.99913012,2025-02-20
21052400,325.40703218,17619496265.97387387,2025-03-22
21227600,322.62211094,17676507575.22688863,2025-04-22
21402800,319.83766019,17733030966.27912588,2025-05-22
21578000,317.05367940,17789066521.56043309,2025-06-21
21753200,314.27016804,17844614323.40780173,2025-07-22
21928400,311.48712559,17899674454.06536728,2025-08-21
22103600,308.70455152,17954246995.68616121,2025-09-21
22278800,305.92244531,18008332030.33035900,2025-10-21
22454000,303.14080643,18061929639.96703212,2025-11-21
22629200,300.35963436,18115039906.47239605,2025-12-21
22804400,297.57892858,18167662911.63156227,2026-01-20
22979600,294.79868856,18219798737.13853825,2026-02-20
23154800,292.01891379,18271447464.59447548,2026-03-22
23330000,289.23960374,18322609175.51117343,2026-04-22
23505200,286.46075789,18373283951.30757558,2026-05-22
23680400,283.68237572,18423471873.31152141,2026-06-21
23855600,280.90445672,18473173022.75974641,2026-07-22
24030800,278.12700036,18522387480.79963405,2026-08-21
24206000,275.35000612,18571115328.48571181,2026-09-21
24381200,272.57347349,18619356646.78140318,2026-10-21
24556400,269.79740195,18667111516.56077964,2026-11-21
24731600,267.02179099,18714380018.60680868,2026-12-21
24906800,264.24664009,18761162233.61310578,2027-01-20
25082000,261.47194873,18807458242.18218242,2027-02-20
25257200,258.69771640,18853268124.82544609,2027-03-22
25432400,255.92394258,18898591961.96495227,2027-04-22
25607600,253.15062677,18943429833.93165246,2027-05-22
25782800,250.37776844,18987781820.96889813,2027-06-21
25958000,247.60536709,19031648003.22718478,2027-07-22
26133200,244.83342220,19075028460.76940789,2027-08-21
26308400,242.06193327,19117923273.56735896,2027-09-21
26483600,239.29089978,19160332521.50522947,2027-10-21
26658800,236.52032122,19202256284.37610691,2027-11-21
26834000,233.75019708,19243694641.88372677,2027-12-21
27009200,230.98052686,19284647673.64247255,2028-01-20
27184400,228.21131004,19325115459.17912773,2028-02-20
27359600,225.44254612,19365098077.92937181,2028-03-21
27534800,222.67423459,19404595609.24128428,2028-04-21
27710000,219.90637494,19443608132.37359263,2028-05-21
27885200,217.13896667,19482135726.49567236,2028-06-20
28060400,214.37200927,19520178470.68929896,2028-07-21
28235600,211.60550224,19557736443.94689593,2028-08-20
28410800,208.83944507,19594809725.17328676,2028-09-20
28586000,206.07383726,19631398393.18394295,2028-10-20
28761200,203.30867830,19667502526.70673599,2028-11-20
28936400,200.54396770,19703122204.38018539,2028-12-20
29111600,197.77970495,19738257504.75696264,2029-01-19
29286800,195.01588955,19772908506.30038724,2029-02-19
29462000,192.25252099,19807075287.38617868,2029-03-21
29637200,189.48959878,19840757926.30070447,2029-04-21
29812400,186.72712242,19873956501.24448411,2029-05-21
29987600,183.96509141,19906671090.33043710,2029-06-20
30162800,181.20350524,19938901771.58388293,2029-07-21
30338000,178.44236343,19970648622.94078912,2029-08-20
30513200,175.68166547,20001911722.25302716,2029-09-20
30688400,172.92141087,20032691147.28311656,2029-10-20
30863600,170.16159912,20062986975.70772881,2029-11-20
31038800,167.40222974,20092799285.11418343,2029-12-20
31214000,164.64330223,20122128153.00570392,2030-01-19
31389200,161.88481609,20150973656.79791378,2030-02-19
31564400,159.12677083,20179335873.81883652,2030-03-21
31739600,156.36916595,20207214881.31064764,2030-04-21
31914800,153.61200097,20234610756.42792266,2030-05-21
32090000,150.85527539,20261523576.24114108,2030-06-20
32265200,148.09898871,20287953417.73318240,2030-07-21
32440400,145.34314045,20313900357.79932614,2030-08-20
32615600,142.58773011,20339364473.25075580,2030-09-20
32790800,139.83275721,20364345840.81105490,2030-10-20
32966000,137.07822125,20388844537.11971094,2030-11-20
33141200,134.32412175,20412860638.72861144,2030-12-20
33316400,131.57045821,20436394222.10554790,2031-01-19
33491600,128.81723015,20459445363.63071184,2031-02-19
33666800,126.06443708,20482014139.60019877,2031-03-21
33842000,123.31207851,20504100626.22425620,2031-04-21
34017200,120.56015396,20525704899.62728365,2031-05-21
34192400,117.80866294,20546827035.84958463,2031-06-20
34367600,115.05760496,20567467110.84561465,2031-07-21
34542800,112.30697954,20587625200.48398123,2031-08-20
34718000,109.55678620,20607301380.54919589,2031-09-20
34893200,106.80702445,20626495726.74167414,2031-10-20
35068400,104.05769380,20645208314.67598349,2031-11-20
35243600,101.30879378,20663439219.88084347,2031-12-20
35418800,98.56032390,20681188517.80262959,2032-01-19
35594000,95.81228368,20698456283.80186937,2032-02-19
35769200,93.06467264,20715242593.15499433,2032-03-20
35944400,90.31749030,20731547521.05433999,2032-04-20
36119600,87.57073618,20747371142.60814587,2032-05-20
36294800,84.82440980,20762713532.84055549,2032-06-19
36470000,82.07851068,20777574766.69161637,2032-07-20
36645200,79.33303834,20791954919.01728003,2032-08-19
36820400,76.58799230,20805854064.58940199,2032-09-19
36995600,73.84337209,20819272278.09574178,2032-10-19
37170800,71.09917723,20832209634.14171492,2032-11-19
37346000,68.35540724,20844666207.24864093,2032-12-19
37521200,65.61206165,20856642071.85374334,2033-01-18
37696400,62.86913998,20868137302.31190167,2033-02-18
37871600,60.12664176,20879151972.89389945,2033-03-20
38046800,57.38456651,20889686157.78817620,2033-04-20
38222000,54.64291376,20899739931.09907545,2033-05-20
38397200,51.90168303,20909313366.84859672,2033-06-19
38572400,49.16087386,20918406538.97464355,2033-07-20
38747600,46.42048577,20927019521.33452746,2033-08-19
38922800,43.68051829,20935152387.70146398,2033-09-19
39098000,40.94097094,20942805211.76632463,2033-10-19
39273200,38.20184326,20949978067.13588495,2033-11-19
39448400,35.46313478,20956671027.33632847,2033-12-19
39623600,32.72484503,20962884165.81149472,2034-01-18
39798800,29.98697354,20968617555.92287923,2034-02-18
39974000,27.24951984,20973871270.94963353,2034-03-20
40149200,24.51248346,20978645384.08856515,2034-04-20
40324400,21.77586394,20982939968.45413763,2034-05-20
40499600,19.03966080,20986755097.08022249,2034-06-19
40674800,16.30387359,20990090842.91659528,2034-07-20
40850000,13.56850183,20992947278.83419152,2034-08-19
41025200,10.83354506,20995324477.61985075,2034-09-19
41200400,8.09900282,20997222511.97982051,2034-10-19
41375600,5.36487464,20998641454.53975633,2034-11-19
41550800,2.63116006,20999581377.84296975,2034-12-19
41709902,1.96032419,21000000000.00000000,2035-01-16,<---
41709902,1.96032419,21000000000.00000000,2035-01-16
41709903,0.00000000,21000000000.00000000,2035-01-16
